model,params,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f2_mean,f2_std
SVC,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.8158,0.0314,0.8229,0.0357,0.8519,0.0448,0.8362,0.0284,0.8453,0.0361
KNN,"{'n_neighbors': 11, 'weights': 'uniform'}",0.8056,0.0324,0.8077,0.0339,0.8525,0.0445,0.8287,0.0295,0.8426,0.0367
HistGradientBoosting,"{'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 200}",0.807,0.0328,0.814,0.0356,0.8459,0.0461,0.8287,0.0296,0.8387,0.0375
LogisticRegression,"{'C': 0.1, 'class_weight': 'balanced'}",0.8113,0.0302,0.8403,0.038,0.8158,0.0494,0.8266,0.0288,0.8198,0.0393
RandomForest,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8016,0.034,0.8096,0.04,0.8415,0.046,0.8241,0.0299,0.8342,0.037
majority_baseline,most_frequent,0.5525,0.0025,0.5525,0.0025,1.0,0.0,0.7118,0.0021,0.8606,0.0012
