fraction,n_train,split,f1_mean,f1_std,f2_mean,accuracy_mean,precision_mean,recall_mean
0.25,138,dev,0.858,0.0197,0.8559,0.8435,0.8634,0.8549
0.25,138,test,0.7922,0.0232,0.7739,0.7793,0.8274,0.7627
0.5,276,dev,0.8674,0.0112,0.8739,0.8511,0.8568,0.8784
0.5,276,test,0.8089,0.0124,0.807,0.7891,0.8127,0.8059
0.75,414,dev,0.8759,0.0086,0.8821,0.8609,0.866,0.8863
0.75,414,test,0.8043,0.0086,0.7981,0.7859,0.8149,0.7941
1.0,552,dev,0.8932,0.0,0.8984,0.8804,0.8846,0.902
1.0,552,test,0.796,0.0,0.789,0.7772,0.8081,0.7843
